TRCID	pmid	publicationyear	firstauthor	journalbook	title
479	33856113	2021	Werbel WA	Am J Transplant	Clearing the hepatitis hurdle: Obstacles and opportunities in liver transplantation for people with HIV
480	33858358	2021	Daubresse M	BMC Nephrol	Correction to: High-dose opioid utilization and mortality among individuals initiating hemodialysis
481	33870635	2021	Ishaque T	Am J Transplant	MELD is MELD is MELD? Transplant center-level variation in waitlist mortality for candidates with the same biological MELD
482	33870639	2021	Feng Y	Am J Transplant	Ambient air pollution and posttransplant outcomes among kidney transplant recipients
483	33891805	2021	Wood NL	Am J Transplant	Liver simulated allocation model does not effectively predict organ offer decisions for pediatric liver transplant candidates
484	33895851	2021	Harhay MN	Nephrol Dial Transplant	Pre-kidney transplant unintentional weight loss leads to worse post-kidney transplant outcomes
485	34008917	2021	Heldman MR	Am J Transplant	COVID-19 in hospitalized lung and non-lung solid organ transplant recipients: A comparative analysis from a multicenter study
486	34043865	2021	Oseini AM	Liver Transpl	Liver Transplantation in Short Telomere-Mediated Hepatopulmonary Syndrome Following Bone Marrow Transplantation Using HCV Positive Allografts: A Case Series
487	34050961	2021	Sandal S	Clin Transplant	Immunosuppression practices during the COVID-19 pandemic: A multinational survey study of transplant programs
488	34100108	2021	Charnaya O	Pediatr Nephrol	Eplet mismatches associated with de novo donor-specific HLA antibody in pediatric kidney transplant recipients
489	34129713	2021	Al Ammary F	Transpl Int	Long-term kidney function and survival in recipients of allografts from living kidney donors with hypertension: a national cohort study
490	34143755	2021	Stock PG	J Clin Invest	Interpreting and addressing suboptimal immune responses after COVID-19 vaccination in solid-organ transplant recipients
491	34153489	2021	Sorber R	Ann Vasc Surg	Quantifying The Costs of Creating and Maintaining Hemodialysis Access in An All-Payer Rate-Controlled Health System
492	34210786	2021	Heeger PS	Sci Immunol	Implications of defective immune responses in SARS-CoV-2 vaccinated organ transplant recipients
493	34216086	2021	Karaba AH	Transpl Infect Dis	Interleukin-18 and tumor necrosis factor-α are elevated in solid organ transplant recipients with possible cytomegalovirus end-organ disease
494	34219362	2021	Xu CQ	Liver Int	The relationship between frailty and cirrhosis etiology: From the Functional Assessment in Liver Transplantation (FrAILT) Study
495	34272777	2021	Chu NM	Clin Transplant	Cognitive impairment burden in older and younger adults across the kidney transplant care continuum
496	34325492	2021	Heldman MR	Transpl Infect Dis	Immunosuppression in solid organ transplant recipients with Covid-19: More data, but still complicated
497	34342054	2021	Kasiske BL	Clin Transplant	Outcomes of living liver donor candidate evaluations in the Living Donor Collective pilot registry
498	34355512	2021	Sandal S	Am J Transplant	Comparing outcomes of third and fourth kidney transplantation in older and younger patients
499	34404825	2021	Baksh S	Sci Rep	Dipeptidyl peptidase-4 inhibitor cardiovascular safety in patients with type 2 diabetes, with cardiovascular and renal disease: a retrospective cohort study
500	34456108	2021	Hallett AM	J Heart Lung Transplant	SARS-CoV-2 messenger RNA vaccine antibody response and reactogenicity in heart and lung transplant recipients
501	34463013	2021	Predmore Z	Transpl Infect Dis	Potential donor characteristics and decisions made by organ procurement organization staff: Results of a discrete choice experiment
502	34476294	2021	Ahn JB	Transplant Direct	The Risk of Postkidney Transplant Outcomes by Induction Choice Differs by Recipient Age
503	34483298	2021	Alsaad R	Curr Opin Nephrol Hypertens	The clinical application of frailty in nephrology and transplantation
504	34549082	2021	Strauss AT	Transplant Direct	Pretransplant Hepatitis C Virus Treatment Decreases Access to High-quality Livers
505	34756569	2021	Raynaud M	Lancet Digit Health	Dynamic prediction of renal survival among deeply phenotyped kidney transplant recipients using artificial intelligence: an observational, international, multicohort study
506	34912947	2021	Ahn JB	Transplant Direct	Effect of Early Steroid Withdrawal on Posttransplant Diabetes Among Kidney Transplant Recipients Differs by Recipient Age
507	35072042	2021	Axelrod DA	Kidney Med	Posttransplant Diabetes Mellitus and Immunosuppression Selection in Older and Obese Kidney Recipients
508	35155863	2021	Sise ME	Kidney Int Rep	One-Year Outcomes of the Multi-Center StudY to Transplant Hepatitis C-InfeCted kidneys (MYTHIC) Trial
509	35296039	2021	Bosi A	Clin Kidney J	Use of nephrotoxic medications in adults with chronic kidney disease in Swedish and US routine care
510	35373112	2021	Fitzpatrick J	Kidney360	Frailty, Age, and Postdialysis Recovery Time in a Population New to Hemodialysis
511	34049363	2022	Hallett AM	Transplantation	Ambient Air Pollution and Adverse Waitlist Events Among Lung Transplant Candidates
512	34115459	2022	Sandal S	Transplantation	Evolving Trends in Risk Profiles and Outcomes in Older Adults Undergoing Kidney Retransplantation
513	34212501	2022	Osbun N	Am J Transplant	The benefit to waitlist patients in a national paired kidney exchange program: Exploring characteristics of chain end living donor transplants
514	34266650	2022	Sutton W	Surgery	Prevalence and risk factors for tertiary hyperparathyroidism in kidney transplant recipients
515	34342961	2022	Levan ML	Transplantation	After 20 Years of Advocacy, Comprehensive Immunosuppressive Drug Coverage for Kidney Transplant Patients Finally Become Law
516	34464500	2022	Jackson KR	Am J Transplant	Rethinking incompatibility in kidney transplantation
517	34467618	2022	Chipman V	Am J Transplant	Motivations and outcomes of compatible living donor-recipient pairs in paired exchange
518	34487636	2022	Wood NL	Am J Transplant	Life expectancy without a transplant for status 1A liver transplant candidates
519	34514710	2022	Heldman MR	Am J Transplant	Changing trends in mortality among solid organ transplant recipients hospitalized for COVID-19 during the course of the pandemic
520	34517430	2022	Qin CX	Am J Transplant	Antibody response to 2-dose SARS-CoV-2 mRNA vaccination in pediatric solid organ transplant recipients
521	34706165	2022	Kates OS	Am J Transplant	Ethical review of COVID-19 vaccination requirements for transplant center staff and patients
522	34741800	2022	Durand CM	Am J Transplant	HOPE in action: A prospective multicenter pilot study of liver transplantation from donors with HIV to recipients with HIV
523	34850174	2022	Chu NM	Nephrol Dial Transplant	Chronic kidney disease, physical activity and cognitive function in older adults-results from the National Health and Nutrition Examination Survey (2011-2014)
524	34862808	2022	Lai JC	Hepatology	Frailty, mortality, and health care utilization after liver transplantation: From the Multicenter Functional Assessment in Liver Transplantation (FrAILT) Study
525	34905269	2022	Saharia KK	Transpl Infect Dis	Clinical characteristics of COVID-19 in solid organ transplant recipients following COVID-19 vaccination: A multicenter case series
526	34951746	2022	Karaba AH	Am J Transplant	A third dose of SARS-CoV-2 vaccine increases neutralizing antibodies against variants of concern in solid organ transplant recipients
527	34953170	2022	Chen X	Am J Transplant	Revision of frailty assessment in kidney transplant recipients: Replacing unintentional weight loss with CT-assessed sarcopenia in the physical frailty phenotype
528	35022176	2022	Sandal S	BMJ Open	Impact of the COVID-19 pandemic on transplantation by income level and cumulative COVID-19 incidence: a multinational survey study
529	35086480	2022	Chen X	BMC Geriatr	Transplant centers that assess frailty as part of clinical practice have better outcomes
530	35107835	2022	Mehta SA	Clin Transplant	Immunogenicity after heterologous third dose COVID-19 vaccination in a heart transplant recipient
531	35112490	2022	Motter JD	Am J Transplant	Don't stop thinking about tomorrow: Ascertainment bias in pre-post design transplant registry studies
532	35119179	2022	Werbel WA	Am J Transplant	SARS-CoV-2 antibody testing for transplant recipients: A tool to personalize protection versus COVID-19
533	35123768	2022	Sutton W	Am J Surg	Impact of the 2015 American thyroid association guidelines on treatment in older adults with low-risk, differentiated thyroid cancer
534	35212363	2022	Heldman MR	Clin Infect Dis	Delayed mortality among solid organ transplant recipients hospitalized for COVID-19
535	35294799	2022	Massie AB	Am J Transplant	Quantifying excess deaths among solid organ transplant recipients in the COVID-19 era
536	35314072	2022	Mathur A	Surgery	Increasing rates of parathyroidectomy to treat secondary hyperparathyroidism in dialysis patients with Medicare coverage
537	35338697	2022	Ross-Driscoll K	Am J Transplant	Listing at non-local transplant centers is associated with increased access to deceased donor kidney transplantation
538	35389558	2022	Strauss AT	Liver Transpl	Severe acute respiratory syndrome coronavirus 2 antibody response to a third dose of homologous messenger RNA vaccination in liver transplantation recipients
539	35429211	2022	Chiang TP	Am J Transplant	Heterologous Ad.26.COV2.S versus homologous BNT162b2/mRNA-1273 as a third dose in solid organ transplant recipients seronegative after two-dose mRNA vaccination
540	35460882	2022	Berry KA	Ann Hepatol	Loneliness in adults awaiting liver transplantation at 7 U.S. transplant centers
541	35486021	2022	Chen X	Am J Transplant	Moving toward clinical implementation of the physical frailty phenotype in kidney transplantation
542	35510786	2022	Qin CX	Am J Transplant	Antibody response to three SARS-CoV-2 mRNA vaccines in adolescent solid organ transplant recipients
543	35575439	2022	Al Ammary F	Am J Transplant	Telemedicine services for living kidney donation: A US survey of multidisciplinary providers
544	35576009	2022	Mitchell J	JAMA Netw Open	Comparison of SARS-CoV-2 Antibody Response After 2-Dose mRNA-1273 vs BNT162b2 Vaccines in Incrementally Immunosuppressed Patients
545	35587191	2022	Ross-Driscoll K	Am J Transplant	"Response to ""non-local kidney transplantation and transplant outcomes"""
546	35669410	2022	Kuppachi S	Kidney Med	Kidney Transplantation, Immunosuppression and the Risk of Fracture: Clinical and Economic Implications
547	35670813	2022	Chang A	Clin Transplant	Improved humoral immunogenicity with mRNA-1273 versus BNT162b2 as third vaccine dose among solid organ transplant recipients seronegative after two BNT162b2 doses
548	35694557	2022	Chen X	Kidney Int Rep	Depressive Symptoms at Kidney Transplant Evaluation and Access to the Kidney Transplant Waitlist
549	35710989	2022	Levan ML	Nat Med	Questions of accountability and transparency in the US organ donation and transplantation system
550	35726679	2022	Strauss AT	Liver Transpl	Multicenter study of racial and ethnic inequities in liver transplantation evaluation: Understanding mechanisms and identifying solutions
551	35777619	2022	Kolarich AR	J Vasc Interv Radiol	Radiofrequency Ablation versus Transarterial Chemoembolization in Patients with Hepatocellular Carcinoma Awaiting Liver Transplant: An Analysis of the Scientific Registry of Transplant Recipients
552	35791054	2022	Chang A	Hepatol Commun	Letter to the editor: Six-month antibody kinetics and durability in liver transplant recipients after two doses of SARS-CoV-2 mRNA vaccination
553	35804289	2022	Shrestha P	BMC Geriatr	Defining the ethical considerations surrounding kidney transplantation for frail and cognitively impaired patients: a Delphi study of geriatric transplant experts
554	35822545	2022	Chang A	Clin Transplant	Immunogenicity of Ad26.COV2.S prime and two subsequent doses of mRNA SARS-CoV-2 vaccines in solid organ transplant recipients: A case series
555	35849522	2022	Lushniak SA	Curr Opin Infect Dis	Donors with human immunodeficiency virus and hepatitis C virus for solid organ transplantation: what's new
556	35854169	2022	Akshat S	Health Care Manag Sci	Heterogeneous donor circles for fair liver transplant allocation
557	35869809	2022	Bae S	Am J Transplant	mTOR inhibitors, mycophenolates, and other immunosuppression regimens on antibody response to SARS-CoV-2 mRNA vaccines in solid organ transplant recipients
558	35870132	2022	Boyarsky BJ	Transpl Infect Dis	Maximizing HIV Organ Policy Equity for transplant candidates with HIV
559	35980673	2022	Chu NM	Am J Transplant	Delirium, changes in cognitive function, and risk of diagnosed dementia after kidney transplantation
560	36062407	2022	Levan ML	Am J Transplant	Maximizing the use of potential donors through increased rates of family approach for authorization
561	36073912	2022	Alejo JL	Clin Transplant	Antibody response to a third dose of SARS-CoV-2 vaccine in heart and lung transplant recipients
562	36284928	2022	Bisen SS	Transplant Direct	Patient and Graft Survival After A1/A2-incompatible Living Donor Kidney Transplantation
563	36345940	2022	Benner SE	JCI Insight	The effect of induction immunosuppression for kidney transplant on the latent HIV reservoir
564	36354254	2022	Kates OS	Curr Opin Organ Transplant	Approaches to pretransplant vaccination
565	36399462	2022	Killian AC	PLoS One	Diabetes-free survival among living kidney donors and non-donors with obesity: A longitudinal cohort study
566	36535636	2022	Warsame F	Nephrol Dial Transplant	Sleep duration and cognitive function among older adults with chronic kidney disease - results from the National Health and Nutrition Examination Survey (2011-2014)
567	36570971	2022	Czech MM	Open Forum Infect Dis	Disseminated Tuberculosis With an Atypical Cutaneous Manifestation in a Hematopoietic Cell Transplant Patient in the Early Posttransplant Period: Case Report and Review of the Literature
568	36572246	2022	Truchot A	Kidney Int	Machine learning does not outperform traditional statistical modelling for kidney allograft failure prediction
569	36590744	2022	Ruck JM	JTCVS Open	Trends and three-year outcomes of hepatitis C virus-viremic donor heart transplant for hepatitis C virus-seronegative recipients
570	35696252	2023	Wood NL	Liver Transpl	Logistical burden of offers and allocation inefficiency in circle-based liver allocation
571	35816202	2023	Charnaya O	Pediatr Nephrol	The unfinished journey toward transplant equity: an analysis of racial/ethnic disparities for children after the implementation of the Kidney Allocation System in 2014
572	36207160	2023	Ruck JM	J Thorac Cardiovasc Surg	Trends in use and three-year outcomes of hepatitis C virus-viremic donor lung transplants for hepatitis C virus-seronegative recipients
573	36244806	2023	Crepeau P	Surgery	Hyperparathyroidism at 1 year after kidney transplantation is associated with graft loss
574	36283115	2023	Shafaat O	Radiology	Association between Abdominal CT Measurements of Body Composition before Deceased Donor Liver Transplant with Posttransplant Outcomes
575	36437691	2023	Mitchell J	Clin Transplant	6-month antibody kinetics and durability after four doses of a SARS-CoV-2 vaccine in solid organ transplant recipients
576	36444666	2023	Al Ammary F	Curr Opin Nephrol Hypertens	Changing landscape of living kidney donation and the role of telemedicine
577	36446662	2023	Mathur A	Surgery	Corrigendum to: Increasing rates of parathyroidectomy to treat secondary hyperparathyroidism in dialysis patients with Medicare coverage, Surgery, Volume 172, Issue 1, July 2022, pages 118-126
578	36622257	2023	Lentine KL	Clin Transplant	Factors enabling transplant program participation in the Scientific Registry of Transplant Recipients (SRTR) Living Donor Collective: A national survey
579	36651598	2023	Alejo JL	Clin Transplant	Patient-reported outcomes after Tixagevimab and Cilgavimab pre-exposure prophylaxis among solid organ transplant recipients: Safety, effectiveness, and perceptions of risk
580	36728621	2023	Chen PH	Liver Transpl	Patient reflections, challenges, and supports related to early liver transplant for severe alcohol-associated liver disease
581	36731783	2023	Sandal S	Am J Transplant	Trends in the survival benefit of repeat kidney transplantation over the past 3 decades
582	36737866	2023	Ivanics T	Liver Int	Outcomes after liver transplantation using deceased after circulatory death donors: A comparison of outcomes in the UK and the US
583	36752566	2023	Kim MH	Clin Transplant	Early initiation of glecaprevir/pibrentasvir after transplantation of HCV-viremic kidneys into HCV-negative recipients is associated with normalization in the altered inflammatory milieu
584	36786505	2023	Strauss AT	Clin Transplant	Critical interactions between race and the highly granular area deprivation index in liver transplant evaluation
585	36811329	2023	Liu Y	Clin Transplant	Post-kidney transplant body mass index trajectories are associated with graft loss and mortality
586	36890643	2023	BaeKMD S	J Am Soc Nephrol	Statins in Kidney Transplant Recipients: Usage, All-Cause Mortality, and Interactions with Maintenance Immunosuppressive Agents
587	36906295	2023	Karaba AH	Am J Transplant	Neutralizing activity and 3-month durability of tixagevimab and cilgavimab prophylaxis against Omicron sublineages in transplant recipients
